Unnamed: 0,Detector,Channel,Beam,Pulse,Dose,X,Z,File,ch1_area,ch2_area,ch1_peaks,ch2_peaks,ch1_osc_count,ch2_osc_count,HV
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0143.csv,7.494766666666674e-08,,92,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0144.csv,7.005600000000003e-08,,87,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0145.csv,7.1334e-08,,99,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0146.csv,6.84893333333333e-08,,87,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0147.csv,2.176666666666393e-10,,27,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0148.csv,3.999999999999284e-11,,40,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,20.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0192.csv,5.4142666666666694e-08,,88,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,20.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0193.csv,4.8479333333333376e-08,,88,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0203.csv,2.295466666666664e-08,,287,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0204.csv,8.098882798455023e-12,,26,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0205.csv,4.636666666666619e-10,,336,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0206.csv,9.402933333333329e-08,,291,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0207.csv,1.4617333333333329e-08,,90,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0208.csv,2.8781333333333364e-08,,302,,0,,50 ohms time 0.01
