Unnamed: 0,Detector,Channel,Beam,Pulse,Dose,X,Z,File,ch1_area,ch2_area,ch1_peaks,ch2_peaks,ch1_osc_count,ch2_osc_count,HV
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0356.csv,3.7201397333333327e-08,3.7201397333333327e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0357.csv,3.6446657333333374e-08,3.6446657333333374e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0358.csv,3.5770314666666674e-08,3.5770314666666674e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0360.csv,3.628545600000001e-08,3.628545600000001e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0361.csv,3.5760064000000004e-08,3.5760064000000004e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0362.csv,3.653737200000001e-08,3.653737200000001e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0363.csv,3.5950116000000025e-08,3.5950116000000025e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0364.csv,3.6571368000000015e-08,3.6571368000000015e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0627.csv,2.041295999999793e-09,2.041295999999793e-09,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0630.csv,3.515890666666645e-09,3.515890666666645e-09,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0631.csv,1.043877333333341e-09,1.043877333333341e-09,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0632.csv,3.21626666666636e-10,3.21626666666636e-10,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0634.csv,2.9789866666669565e-10,2.9789866666669565e-10,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0636.csv,1.1675360000000571e-09,1.1675360000000571e-09,0,0,0,0,50 ohms time 0.01
